l1,l2,name,action,sku,link,note
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Adapter Male Thread-Painted,update,IH-STZ-STORZ-ADAPTER-MALE-THREAD-PAINTED,https://sunpool.com.tw/catalog/ins.php?index_id=477&index_m1_id=3&index_m2_id=9,3 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Adapter Male Thread-H. Anodized,update,IH-STZ-STORZ-ADAPTER-MALE-THREAD-H-ANODIZED,https://sunpool.com.tw/catalog/ins.php?index_id=476&index_m1_id=3&index_m2_id=9,3 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz 30 deg FDC UL Listed-Painted,update,IH-STZ-STORZ-30-DEG-FDC-UL-LISTED-PAINTED,https://www.sunpool.com.tw/catalog/ins.php?index_id=610&index_m1_id=1&index_m2_id=31,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz 30 deg FDC UL Listed-H. Anodized,update,IH-STZ-STORZ-30-DEG-FDC-UL-LISTED-H-ANODIZED,https://www.sunpool.com.tw/catalog/ins.php?index_id=611&index_m1_id=1&index_m2_id=31,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Fire Department Connection 30° Elbow,update,IH-STZ-STORZ-FIRE-DEPARTMENT-CONNECTION-30-ELBO,https://www.sunpool.com.tw/catalog/ins.php?index_id=360&index_m1_id=1&index_m2_id=31,3 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,AL Storz Coupling-Long Shank,update,IH-STZ-STORZ-COUPLING-LONG-SHANK,https://sunpool.com.tw/catalog/ins.php?index_id=271&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,BR Storz Coupling-Long Shank,update,IH-STZ-STORZ-COUPLING-LONG-SHANK-2,https://sunpool.com.tw/catalog/ins.php?index_id=628&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,SS Storz Coupling-Long Shank,update,IH-STZ-STORZ-COUPLING-LONG-SHANK-3,https://sunpool.com.tw/catalog/ins.php?index_id=629&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,AL Storz Adapter-Female Thread,update,IH-STZ-STORZ-ADAPTER-FEMALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=270&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,BR Storz Adapter-Female Thread,update,IH-STZ-STORZ-ADAPTER-FEMALE-THREAD-2,https://sunpool.com.tw/catalog/ins.php?index_id=627&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,SS Storz Adapter-Female Thread,update,IH-STZ-STORZ-ADAPTER-FEMALE-THREAD-3,https://sunpool.com.tw/catalog/ins.php?index_id=631&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,AL Storz Adapter-Male Thread,update,IH-STZ-STORZ-ADAPTER-MALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=626&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,BR Storz Adapter-Male Thread,update,IH-STZ-STORZ-ADAPTER-MALE-THREAD-2,https://sunpool.com.tw/catalog/ins.php?index_id=632&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,SS Storz Adapter-Male Thread,update,IH-STZ-STORZ-ADAPTER-MALE-THREAD-3,https://sunpool.com.tw/catalog/ins.php?index_id=630&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Suction Gasket-Gray,update,IH-STZ-STORZ-SUCTION-GASKET-GRAY,https://sunpool.com.tw/catalog/ins.php?index_id=506&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Pressure Gasket-Black,update,IH-STZ-STORZ-PRESSURE-GASKET-BLACK,https://sunpool.com.tw/catalog/ins.php?index_id=505&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Storz Adapter X Male Thread,update,IH-STZ-STORZ-ADAPTER-X-MALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=269&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,3 Segment Clamp for Storz,update,IH-STZ-3-SEGMENT-CLAMP-FOR-STORZ,https://sunpool.com.tw/catalog/ins.php?index_id=268&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Reduce Type,update,IH-STZ-REDUCE-TYPE,https://sunpool.com.tw/catalog/ins.php?index_id=262&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Storz Coupling & Adapter,Alfot Forged Storz Head,update,IH-STZ-ALFOT-FORGED-STORZ-HEAD,https://sunpool.com.tw/catalog/ins.php?index_id=260&index_m1_id=3&index_m2_id=9,2 sourced specs
Industrial Hose Couplings,Flange,Welding Neck Flange ASME B16.5 150/300 lbs,update,IH-FLG-WELDING-NECK-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=381&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Slip On Flange ASME B16.5 150/300 lbs,update,IH-FLG-SLIP-ON-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=382&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Socket Weld Flange ASTM B16.5 150/300 lbs,update,IH-FLG-SOCKET-WELD-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=383&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Lap Joint Flange ASTM B16.5 150/300 lbs,update,IH-FLG-LAP-JOINT-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=387&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Threaded Flange ASTM B16.5 150/300 lbs,update,IH-FLG-THREADED-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=384&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Flat Flange ASTM B16.5 150/300 lbs,update,IH-FLG-FLAT-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=388&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Blind Flange ASTM B16.5 150/300 lbs,update,IH-FLG-BLIND-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=385&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Stub End Flange MSS SP43,update,IH-FLG-STUB-END-FLANGE,https://sunpool.com.tw/catalog/ins.php?index_id=386&index_m1_id=3&index_m2_id=48,4 sourced specs
Industrial Hose Couplings,Flange,Gunmetal Dock Flange X Male Thread,update,IH-FLG-DOCK-FLANGE-X-MALE-THREAD,https://sunpool.com.tw/catalog/ins.php?index_id=479&index_m1_id=3&index_m2_id=48,0 sourced specs
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling American Type-Male End,create,IH-UAC-US-MALE,https://sunpool.com.tw/catalog/ins.php?index_id=39&index_m1_id=3&index_m2_id=19,"4 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling American Type-Female End,create,IH-UAC-US-FEMALE,https://sunpool.com.tw/catalog/ins.php?index_id=37&index_m1_id=3&index_m2_id=19,"4 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling American Type-Hose End,create,IH-UAC-US-HOSE,https://sunpool.com.tw/catalog/ins.php?index_id=41&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling American Type-Blank End,create,IH-UAC-US-BLANK,https://sunpool.com.tw/catalog/ins.php?index_id=38&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling American Type-3-Way,create,IH-UAC-US-3WAY,https://sunpool.com.tw/catalog/ins.php?index_id=40&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Safety Whip Hose to Hose,create,IH-UAC-WHIP-HOSE-HOSE,https://sunpool.com.tw/catalog/ins.php?index_id=67&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Safety Whip Hose to Tool,create,IH-UAC-WHIP-HOSE-TOOL,https://sunpool.com.tw/catalog/ins.php?index_id=66&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling European Type-Male End,create,IH-UAC-EU-MALE,https://sunpool.com.tw/catalog/ins.php?index_id=58&index_m1_id=3&index_m2_id=19,"4 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling European Type-Female End,create,IH-UAC-EU-FEMALE,https://sunpool.com.tw/catalog/ins.php?index_id=59&index_m1_id=3&index_m2_id=19,"4 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling European Type-Hose End,create,IH-UAC-EU-HOSE,https://sunpool.com.tw/catalog/ins.php?index_id=60&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling European Type-Blank End,create,IH-UAC-EU-BLANK,https://sunpool.com.tw/catalog/ins.php?index_id=335&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling Australia Type-Male End,create,IH-UAC-AU-MALE,https://sunpool.com.tw/catalog/ins.php?index_id=64&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling Australia Type-Female End,create,IH-UAC-AU-FEMALE,https://sunpool.com.tw/catalog/ins.php?index_id=62&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling Australia Type-Hose End,create,IH-UAC-AU-HOSE,https://sunpool.com.tw/catalog/ins.php?index_id=61&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Universal Coupling Australia Type-Blank End,create,IH-UAC-AU-BLANK,https://sunpool.com.tw/catalog/ins.php?index_id=63&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Australia Type-3 WAY,create,IH-UAC-AU-3WAY,https://sunpool.com.tw/catalog/ins.php?index_id=65&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,Universal Air Hose Couplings / Chicago Coupling,Washer,create,IH-UAC-WASHER,https://sunpool.com.tw/catalog/ins.php?index_id=42&index_m1_id=3&index_m2_id=19,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Sleeve for KC & Camlock,create,IH-CLP-SLEEVE-KC-CAMLOCK,https://sunpool.com.tw/catalog/ins.php?index_id=252&index_m1_id=3&index_m2_id=23,"4 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Ferrule for KC & Camlock,create,IH-CLP-FERRULE-KC-CAMLOCK,https://sunpool.com.tw/catalog/ins.php?index_id=251&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Heavy Duty Ferrule,create,IH-CLP-FERRULE-HD,https://sunpool.com.tw/catalog/ins.php?index_id=253&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Aluminum Sleeve,create,IH-CLP-SLEEVE-ALU,https://sunpool.com.tw/catalog/ins.php?index_id=535&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Sanitary Style Crimp Ferrule,create,IH-CLP-FERRULE-SANITARY,https://www.sunpool.com.tw/catalog/ins.php?index_id=374&index_m1_id=3&index_m2_id=47,"4 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Double Bolt Clamp,create,IH-CLP-DOUBLE-BOLT,https://sunpool.com.tw/catalog/ins.php?index_id=213&index_m1_id=3&index_m2_id=23,"2 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Interlocking Clamp,create,IH-CLP-INTERLOCKING,https://sunpool.com.tw/catalog/ins.php?index_id=212&index_m1_id=3&index_m2_id=23,"2 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",EN 14420-3/DIN2817 Safety Clamp,create,IH-CLP-SAFETY-14420-3,https://sunpool.com.tw/catalog/ins.php?index_id=210&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",EN 14423 Clamp,create,IH-CLP-EN-14423,https://sunpool.com.tw/catalog/ins.php?index_id=211&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Grooved Clamp,create,IH-CLP-GROOVED,https://sunpool.com.tw/catalog/ins.php?index_id=205&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Drag Hose Coupling Ring Clamp,create,IH-CLP-DRAG-RING,https://sunpool.com.tw/catalog/ins.php?index_id=537&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Heavy Duty Double Pin Sanitary Clamp X Cross Hole Wing Nut,create,IH-CLP-SAN-DOUBLE-PIN,https://www.sunpool.com.tw/catalog/ins.php?index_id=371&index_m1_id=3&index_m2_id=47,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Heavy Duty Single Pin Sanitary Clamp X Serrated Wing Nut,create,IH-CLP-SAN-SINGLE-PIN,https://www.sunpool.com.tw/catalog/ins.php?index_id=370&index_m1_id=3&index_m2_id=47,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Heavy Duty Three Segment Sanitary Clamp,create,IH-CLP-SAN-3-SEGMENT,https://www.sunpool.com.tw/catalog/ins.php?index_id=372&index_m1_id=3&index_m2_id=47,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Heavy Duty Sanitary Clamps X Double Pressure Bolted,create,IH-CLP-SAN-BOLTED,https://www.sunpool.com.tw/catalog/ins.php?index_id=373&index_m1_id=3&index_m2_id=47,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",3 Segment Clamp for Storz,skip-duplicate,IH-STZ-3-SEGMENT-CLAMP-FOR-STORZ,https://sunpool.com.tw/catalog/ins.php?index_id=206&index_m1_id=3&index_m2_id=23,same part as the Storz Coupling & Adapter row; Sunpool cross-lists it under two menus
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",3 Segment Clamp,create,IH-CLP-SEGMENT-3-FRAC,https://sunpool.com.tw/catalog/ins.php?index_id=247&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Drag Hose Clamp,create,IH-CLP-DRAG-HOSE,https://sunpool.com.tw/catalog/ins.php?index_id=533&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Single Bolt Clamp,create,IH-CLP-SINGLE-BOLT,https://sunpool.com.tw/catalog/ins.php?index_id=208&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Spiral Clamp,create,IH-CLP-SPIRAL,https://sunpool.com.tw/catalog/ins.php?index_id=207&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,"Clamp, Sleeves & Ferrules",Double Bolt Super Clamp,create,IH-CLP-DOUBLE-BOLT-SUPER,https://sunpool.com.tw/catalog/ins.php?index_id=209&index_m1_id=3&index_m2_id=23,"3 sourced specs, new listing"
Industrial Hose Couplings,Russian Gost Coupling,Russian Gost Coupling,create,IH-GST-COUPLING,https://sunpool.com.tw/catalog/ins.php?index_id=498&index_m1_id=3&index_m2_id=52,"3 sourced specs, new listing"
Industrial Hose Couplings,Russian Gost Coupling,Gost Adapter X Female Thread,create,IH-GST-ADAPTER-FEMALE,https://sunpool.com.tw/catalog/ins.php?index_id=500&index_m1_id=3&index_m2_id=52,"3 sourced specs, new listing"
Industrial Hose Couplings,Russian Gost Coupling,Gost Adapter X Male Thread,create,IH-GST-ADAPTER-MALE,https://sunpool.com.tw/catalog/ins.php?index_id=501&index_m1_id=3&index_m2_id=52,"3 sourced specs, new listing"
Industrial Hose Couplings,Russian Gost Coupling,Russian Gost Cap,create,IH-GST-CAP,https://sunpool.com.tw/catalog/ins.php?index_id=499&index_m1_id=3&index_m2_id=52,"3 sourced specs, new listing"
Industrial Hose Couplings,Barcelona & Geka Coupling,Barcelona Coupling-Female Thread,create,IH-BGK-BARCELONA-FEMALE,https://sunpool.com.tw/catalog/ins.php?index_id=298&index_m1_id=3&index_m2_id=25,"3 sourced specs, new listing"
Industrial Hose Couplings,Barcelona & Geka Coupling,Geka Coupling,create,IH-BGK-GEKA-SHANK,https://sunpool.com.tw/catalog/ins.php?index_id=297&index_m1_id=3&index_m2_id=25,"3 sourced specs, new listing"
Industrial Hose Couplings,Barcelona & Geka Coupling,Geka Coupling with Male Thread,create,IH-BGK-GEKA-MALE,https://sunpool.com.tw/catalog/ins.php?index_id=296&index_m1_id=3&index_m2_id=25,"3 sourced specs, new listing"
Industrial Hose Couplings,Barcelona & Geka Coupling,Geka Coupling with Female Thread,create,IH-BGK-GEKA-FEMALE,https://sunpool.com.tw/catalog/ins.php?index_id=295&index_m1_id=3&index_m2_id=25,"3 sourced specs, new listing"
Industrial Hose Couplings,Barcelona & Geka Coupling,Geka Caps,create,IH-BGK-GEKA-CAP,https://sunpool.com.tw/catalog/ins.php?index_id=294&index_m1_id=3&index_m2_id=25,"3 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 SS GA fitting - Serrated,create,IH-EN5-SS-GA-SERRATED,https://sunpool.com.tw/catalog/ins.php?index_id=214&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 SS GI fitting - Serrated,create,IH-EN5-SS-GI-SERRATED,https://sunpool.com.tw/catalog/ins.php?index_id=215&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 SS GA fitting - Flat,create,IH-EN5-SS-GA-FLAT,https://sunpool.com.tw/catalog/ins.php?index_id=217&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 SS GI fitting - Flat,create,IH-EN5-SS-GI-FLAT,https://sunpool.com.tw/catalog/ins.php?index_id=216&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 BR GA fitting - Serrated,create,IH-EN5-BR-GA-SERRATED,https://sunpool.com.tw/catalog/ins.php?index_id=555&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 BR GI fitting - Serrated,create,IH-EN5-BR-GI-SERRATED,https://sunpool.com.tw/catalog/ins.php?index_id=557&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 BR GA fitting - Flat,create,IH-EN5-BR-GA-FLAT,https://sunpool.com.tw/catalog/ins.php?index_id=554&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
Industrial Hose Couplings,EN14420-5 Fitting,EN14420-5 Brass GI fitting - Flat,create,IH-EN5-BR-GI-FLAT,https://sunpool.com.tw/catalog/ins.php?index_id=556&index_m1_id=3&index_m2_id=54,"4 sourced specs, new listing"
